"","Timestamp","Machine","Temperature","Pressure","PartLength","PartResistance"
"1",2022-03-08 00:00:00,1,303,100,51.2033678508498,5.97678447285922
"2",2022-03-08 00:00:05,1,303,100,49.9802051989063,6.47366049731722
"3",2022-03-08 00:00:10,1,303,100,51.121816805592,6.41912955359392
"4",2022-03-08 00:00:15,1,303,100,50.3622033037387,6.72410136619959
"5",2022-03-08 00:00:20,1,303,100,50.1811514888276,5.77500273342544
"6",2022-03-08 00:00:25,1,303,100,52.6176161080361,5.87444529837299
"7",2022-03-08 00:00:30,1,303,100,49.7892659538205,6.24376672964973
"8",2022-03-08 00:00:35,1,303,100,50.5793199347104,6.08341059087206
"9",2022-03-08 00:00:40,1,303,100,49.9128183481899,5.53532824059376
"10",2022-03-08 00:00:45,1,303,100,51.2753424198371,6.04980710855392
"11",2022-03-08 00:00:50,1,303,100,52.1354662480281,6.49895814035521
"12",2022-03-08 00:00:55,1,303,100,50.8538282147925,5.85518099719607
"13",2022-03-08 00:01:00,1,303,100,50.0154639118409,6.07950575444389
"14",2022-03-08 00:01:05,1,303,100,51.0042830965255,6.27429967682915
"15",2022-03-08 00:01:10,1,303,100,50.9402047608756,5.96748135844422
"16",2022-03-08 00:01:15,1,303,100,50.5640366444239,5.92352759579582
"17",2022-03-08 00:01:20,1,303,100,50.2414507212484,5.9584603776236
"18",2022-03-08 00:01:25,1,303,100,51.4136722136794,6.09426262719522
"19",2022-03-08 00:01:30,1,303,100,50.8541567758086,6.81090324761617
"20",2022-03-08 00:01:35,1,303,100,51.0481165526111,6.00211332534291
"21",2022-03-08 00:01:40,1,303,100,51.0827846641329,5.81551143453859
"22",2022-03-08 00:01:45,1,303,100,51.4579394745285,6.01310651489709
"23",2022-03-08 00:01:50,1,303,100,51.2492305085142,5.90838587728102
"24",2022-03-08 00:01:55,1,303,100,50.5513635722466,5.88831012951088
"25",2022-03-08 00:02:00,1,303,100,50.8139359614953,6.1980848123417
"26",2022-03-08 00:02:05,1,303,100,50.6426915932109,5.73919345410791
"27",2022-03-08 00:02:10,1,303,100,50.8909220910232,6.07006718494869
"28",2022-03-08 00:02:15,1,303,100,50.9422800326483,6.2055600358151
"29",2022-03-08 00:02:20,1,303,100,50.7096786182605,6.30048591031359
"30",2022-03-08 00:02:25,1,303,100,50.6761073599575,6.04908981546078
"31",2022-03-08 00:02:30,1,303,100,51.8724780528512,5.85689245403304
"32",2022-03-08 00:02:35,1,303,100,50.4088379080185,5.90024754384899
"33",2022-03-08 00:02:40,1,303,100,52.1495298618706,6.05222942405869
"34",2022-03-08 00:02:45,1,303,100,51.6839944970096,5.84652932580651
"35",2022-03-08 00:02:50,1,303,100,49.8997377085595,6.29434178894714
"36",2022-03-08 00:02:55,1,303,100,50.4513670057994,6.04164516115484
"37",2022-03-08 00:03:00,1,303,100,51.4065344649881,6.0312637249657
"38",2022-03-08 00:03:05,1,303,100,51.0301450497331,6.14295347794914
"39",2022-03-08 00:03:10,1,303,100,49.6027445957145,5.95013359650452
"40",2022-03-08 00:03:15,1,303,100,49.3501375153278,5.83598081868499
"41",2022-03-08 00:03:20,1,303,100,51.6133550762519,5.88279488979019
"42",2022-03-08 00:03:25,1,303,100,51.4074629026752,6.2526214652215
"43",2022-03-08 00:03:30,1,303,100,49.7557240968932,6.45504761375837
"44",2022-03-08 00:03:35,1,303,100,49.5818672471489,6.29252503300235
"45",2022-03-08 00:03:40,1,303,100,50.7262365418163,6.12408613993124
"46",2022-03-08 00:03:45,1,303,100,50.563304883311,6.03937020188369
"47",2022-03-08 00:03:50,1,303,100,50.9280392322627,6.65391855375401
"48",2022-03-08 00:03:55,1,303,100,50.6541726058458,6.19569208039883
"49",2022-03-08 00:04:00,1,303,100,50.3634325759849,5.98397455182627
"50",2022-03-08 00:04:05,1,303,100,49.6627350210954,6.11871079440134
